editonNo,Team Name,Player ID,Player Name,Role,Batting Style,Bowling Style,Nationality,DOB,IPL Debut,Matches,Runs,WIckets,Image
2008,chennai-super-kings,1,MS Dhoni,Wicketkeeper Batter,Right-handed,Right-arm Medium,Indian,7-Jul-81,2008,234,4978,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/1.png
2008,chennai-super-kings,2,Abhinav Mukund,Batter,Left-handed,Right-arm Leg Spin,Indian,6-Jan-90,2008,3,19,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/2.png
2008,chennai-super-kings,3267,Napoleon Einstein,,Right-handed,,Indian,16-Aug-89,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,chennai-super-kings,3268,Viraj Kadbe,,Right-handed,,Indian,18-Nov-89,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,chennai-super-kings,5,Joginder Sharma,Bowler,Left-handed,Right-arm Medium,Indian,23-Oct-83,2008,12,36,12,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/5.png
2008,chennai-super-kings,3269,Suresh Kumar,,Right-handed,,Indian,20-Mar-85,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,chennai-super-kings,8,Ravichandran Ashwin,Bowling All-rounder,Right-handed,Right-arm Off-spin,Indian,17-Sep-86,2009,184,647,157,https://assets.iplt20.com/ipl/IPLHeadshot2022/8.png
2008,chennai-super-kings,10,Shadab Jakati,Bowler,Left-handed,Left-arm Orthodox Spin,Indian,27-Nov-80,2009,30,28,47,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/10.png
2008,chennai-super-kings,11,Srikkanth Anirudha,Batter,Left-handed,,Indian,14-Apr-87,2008,15,106,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/11.png
2008,chennai-super-kings,12,Subramaniam Badrinath,Batter,Left-handed,Right-arm Off-spin,Indian,30-Aug-80,2008,95,1441,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/12.png
2008,chennai-super-kings,13,Sudeep Tyagi,Bowler,Left-handed,Right-arm Medium Fast,Indian,19-Sep-87,2009,6,3,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/13.png
2008,chennai-super-kings,14,Suresh Raina,Batter,Left-handed,Right-arm Off-spin,Indian,27-Nov-86,2008,205,5528,25,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/14.png
2008,chennai-super-kings,20,Michael Hussey,Batter,Left-handed,Right-arm Medium,Australian,27-May-75,2008,59,1977,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/20.png
2008,chennai-super-kings,87,Lakshmipathy Balaji,Bowler,Left-handed,Right-arm Medium Fast,Indian,27-Sep-81,2008,65,36,76,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/87.png
2008,chennai-super-kings,153,Arun Karthik,Batter,Left-handed,Right-arm Leg Spin,Indian,15-Feb-86,2010,16,51,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/153.png
2008,chennai-super-kings,26,Albie Morkel,All-rounder,Left-handed,Right-arm Medium Fast,South African,10-Jun-81,2008,91,974,85,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/26.png
2008,chennai-super-kings,350,Stephen Fleming,,Right-handed,,New Zealander,1-Apr-73,,10,196,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/350.png
2008,chennai-super-kings,351,Makhaya Ntini,,Right-handed,,South African,6-Jul-77,,9,11,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/351.png
2008,chennai-super-kings,352,Matthew Hayden,,Left-handed,,Australian,29-Oct-71,,32,1107,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/352.png
2008,chennai-super-kings,353,Chamara Kapugedera,,Right-handed,,Sri Lankan,24-Feb-87,,5,16,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/353.png
2008,chennai-super-kings,354,Vidyut Sivaramakrishnan,,Left-handed,,Indian,3-Dec-81,,9,145,1,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/354.png
2008,chennai-super-kings,355,Palani Amarnath,,Right-handed,,Indian,1-Jun-82,,0,0,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/355.png
2008,chennai-super-kings,293,Jacob Oram,All-rounder,Left-handed,Right-arm Medium Fast,New Zealander,28-Jul-78,2008,15,106,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/293.png
2008,chennai-super-kings,40,Manpreet Gony,Bowler,Right-handed,Right-arm Medium Fast,Indian,1-Jan-84,2008,40,99,37,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/40.png
2008,chennai-super-kings,44,Parthiv Patel,Wicketkeeper Batter,Left-handed,,Indian,9-Mar-85,2008,139,2848,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/44.png
2008,chennai-super-kings,241,Muttiah Muralitharan,Bowler,Right-handed,Right-arm Off-spin,Sri Lankan,17-Apr-72,2008,40,20,63,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/241.png
2008,delhi-capitals,45,Virender Sehwag,Batter,Right-handed,Right-arm Off-spin,Indian,20-Oct-78,2008,104,2728,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/45.png
2008,delhi-capitals,102,Dinesh Karthik,Wicketkeeper Batter,Right-handed,,Indian,1-Jun-85,2008,229,4376,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/102.png
2008,delhi-capitals,64,Yogesh Nagar,All-rounder,Left-handed,Right-arm Off-spin,Indian,6-Jan-90,2009,24,263,1,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/64.png
2008,delhi-capitals,3270,Mayank Tehlan,,Right-handed,,Indian,11-Oct-86,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,delhi-capitals,233,AB de Villiers,Wicketkeeper Batter,Right-handed,Right-arm Medium,South African,17-Feb-84,2008,184,5162,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/233.png
2008,delhi-capitals,41,Shikhar Dhawan,Batter,Left-handed,,Indian,5-Dec-85,2008,206,6244,4,https://assets.iplt20.com/ipl/IPLHeadshot2022/41.png
2008,delhi-capitals,15,Yo Mahesh,Bowler,Left-handed,Right-arm Medium Fast,Indian,21-Dec-87,2008,11,15,20,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/15.png
2008,delhi-capitals,240,Tillakaratne Dilshan,All-rounder,Right-handed,Right-arm Off-spin,Sri Lankan,14-Oct-76,2008,38,735,5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/240.png
2008,delhi-capitals,243,Daniel Vettori,All-rounder,Left-handed,Left-arm Orthodox Spin,New Zealander,27-Jan-79,2008,25,87,21,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/243.png
2008,delhi-capitals,84,Gautam Gambhir,Batter,Left-handed,Right-arm Leg Spin,Indian,14-Oct-81,2008,154,4217,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/84.png
2008,delhi-capitals,310,Glenn McGrath,,Right-handed,,Australian,9-Feb-70,,14,4,12,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/310.png
2008,delhi-capitals,311,MF Maharoof,,Right-handed,,,30-Apr-12,,17,156,23,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/311.png
2008,delhi-capitals,312,Mohammad Asif,,Right-handed,,,30-Apr-12,,8,3,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/312.png
2008,delhi-capitals,313,Brett Geeves,,Right-handed,,Australian,13-Jun-82,,0,0,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/313.png
2008,delhi-capitals,89,Manoj Tiwary,Batter,Right-handed,Right-arm Leg Spin,Indian,14-Nov-85,2008,96,1686,1,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/89.png
2008,delhi-capitals,314,Shoaib Malik,,Right-handed,,Pakistani,1-Feb-82,,7,52,2,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/314.png
2008,delhi-capitals,58,Tejashwi Yadav,,Left-handed,,Indian,9-Nov-89,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,delhi-capitals,91,Pradeep Sangwan,Bowler,Right-handed,Left-arm Medium Fast,Indian,5-Nov-90,2008,42,26,38,https://assets.iplt20.com/ipl/IPLHeadshot2022/91.png
2008,delhi-capitals,92,Rajat Bhatia,All-rounder,Right-handed,Right-arm Medium Fast,Indian,22-Oct-79,2008,87,334,61,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/92.png
2008,delhi-capitals,124,Mithun Manhas,Batter,Left-handed,Right-arm Off-spin,Indian,12-Oct-79,2008,44,439,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/124.png
2008,delhi-capitals,30,Amit Mishra,Bowler,Right-handed,Right-arm Leg Spin,Indian,24-Nov-82,2008,147,362,166,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/30.png
2008,kolkata-knight-riders,130,Sourav Ganguly,Batting All-rounder,Left-handed,Right-arm Medium,Indian,8-Jul-72,2008,59,1349,10,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/130.png
2008,kolkata-knight-riders,202,Brendon McCullum,Wicketkeeper Batter,Right-handed,Right-arm Medium,New Zealander,27-Sep-81,2008,109,2880,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/202.png
2008,kolkata-knight-riders,259,Debabrata Das,Batter,Left-handed,Right-arm Leg Spin,Indian,22-Sep-86,2008,31,304,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/259.png
2008,kolkata-knight-riders,132,Aakash Chopra,Batter,Left-handed,Right-arm Medium,Indian,19-Sep-77,2008,7,53,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/132.png
2008,kolkata-knight-riders,3274,Rohan Banerjee,,Left-handed,,Indian,10-Dec-88,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,kolkata-knight-riders,3275,Saurasish Lahiri,,Right-handed,,Indian,9-Sep-81,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,kolkata-knight-riders,16,Wriddhiman Saha,Wicketkeeper Batter,Right-handed,,Indian,24-Oct-84,2008,144,2427,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/16.png
2008,kolkata-knight-riders,85,Iqbal Abdulla,Bowler,Left-handed,Left-arm Orthodox Spin,Indian,2-Dec-89,2008,36,86,40,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/85.png
2008,kolkata-knight-riders,88,Laxmi Ratan Shukla,All-rounder,Left-handed,Right-arm Medium,Indian,6-May-81,2008,47,405,15,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/88.png
2008,kolkata-knight-riders,156,Cheteshwar Pujara,Batter,Right-handed,Right-arm Leg Spin,Indian,25-Jan-88,2010,30,390,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/156.png
2008,kolkata-knight-riders,414,Yashpal Singh,,Right-handed,,Indian,3-May-12,,8,47,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/414.png
2008,kolkata-knight-riders,356,Shoaib Akhtar,,Right-handed,,Pakistani,13-Aug-75,,3,2,5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/356.png
2008,kolkata-knight-riders,229,Brad Hodge,Batter,Left-handed,Right-arm Off-spin,Australian,29-Dec-74,2008,66,1400,17,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/229.png
2008,kolkata-knight-riders,357,Tatenda Taibu,,Right-handed,,Zimbabwean,14-May-83,,3,31,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/357.png
2008,kolkata-knight-riders,358,Ajantha Mendis,Bowler,Right-handed,Right-arm Offbreak,Sri Lankan,11-Mar-85,2009,9,3,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/358.png
2008,kolkata-knight-riders,38,Ishant Sharma,Bowler,Right-handed,Right-arm Medium Fast,Indian,2-Sep-88,2008,95,103,84,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/38.png
2008,kolkata-knight-riders,359,Umar Gul,,Right-handed,,Pakistani,14-Apr-84,,6,39,12,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/359.png
2008,kolkata-knight-riders,360,Salman Butt,,Right-handed,,,30-Apr-12,,7,193,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/360.png
2008,kolkata-knight-riders,361,Ricky Ponting,Batter,Right-handed,Right-arm Medium,Australian,19-Dec-74,2008,10,91,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/361.png
2008,kolkata-knight-riders,236,Chris Gayle,All-rounder,Left-handed,Right-arm Off-spin,West Indian,21-Sep-79,2009,142,4965,18,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/236.png
2008,kolkata-knight-riders,47,Ajit Agarkar,Bowling All-rounder,Right-handed,Right-arm Medium Fast,Indian,4-Dec-77,2008,38,179,29,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/47.png
2008,kolkata-knight-riders,48,Ashok Dinda,Bowler,Right-handed,Right-arm Medium Fast,Indian,25-Mar-84,2008,54,26,68,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/48.png
2008,kolkata-knight-riders,373,Ranadeb Bose,,Right-handed,,Indian,27-Feb-79,,0,0,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/373.png
2008,kolkata-knight-riders,441,Mohammad Hafeez,,Right-handed,,Pakistani,17-Oct-80,,8,20,1,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/441.png
2008,kolkata-knight-riders,186,David Hussey,All-rounder,Left-handed,Right-arm Off-spin,Australian,15-Jul-77,2008,64,1322,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/186.png
2008,kolkata-knight-riders,125,Murali Kartik,Bowler,Left-handed,Left-arm Orthodox Spin,Indian,11-Sep-76,2008,54,113,31,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/125.png
2008,kolkata-knight-riders,1086,Siddharth Kaul,Bowler,Right-handed,Right-arm Medium Fast,Indian,19-May-90,2013,55,20,58,https://assets.iplt20.com/ipl/IPLHeadshot2022/1086.png
2008,mumbai-indians,97,Sachin Tendulkar,Batter,Right-handed,Right-arm Off/leg-spin,Indian,24-Apr-73,2008,78,2334,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/97.png
2008,mumbai-indians,338,Luke Ronchi,,Right-handed,,New Zealander,23-Apr-81,,5,34,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/338.png
2008,mumbai-indians,66,Abhishek Nayar,All-rounder,Left-handed,Right-arm Medium,Indian,8-Oct-83,2008,60,672,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/66.png
2008,mumbai-indians,135,Ajinkya Rahane,Batter,Right-handed,Right-arm Medium,Indian,6-Jun-88,2008,158,4074,1,https://assets.iplt20.com/ipl/IPLHeadshot2022/135.png
2008,mumbai-indians,2634,Loots Bosman,,Right-handed,,South African,14-Apr-77,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,mumbai-indians,138,Ankeet Chavan,Batter,Left-handed,Left-arm Orthodox Spin,Indian,28-Oct-85,2011,10,12,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/138.png
2008,mumbai-indians,3276,Gaurav Dhiman,,Right-handed,,Indian,16-Dec-86,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,mumbai-indians,717,Ashwell Prince,,Right-handed,,South African,28-May-77,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,mumbai-indians,80,Siddharth Chitnis,Batter,Left-handed,Right-arm Off-spin,Indian,6-May-87,2008,11,99,2,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/80.png
2008,mumbai-indians,145,Pinal Shah,,Right-handed,,Indian,27-Feb-12,,16,92,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/145.png
2008,mumbai-indians,339,Rajesh Pawar,,Left-handed,,Indian,6-Sep-79,,0,0,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/339.png
2008,mumbai-indians,211,Lasith Malinga,Bowler,Right-handed,Right-arm Fast,Sri Lankan,28-Aug-83,2009,110,88,170,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/211.png
2008,mumbai-indians,340,Rohan Raje,,Right-handed,,Indian,3-Sep-86,,10,20,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/340.png
2008,mumbai-indians,341,Vikrant Yeligati,,Right-handed,,Indian,23-Apr-85,,2,2,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/341.png
2008,mumbai-indians,342,Sanath Jayasuriya,,Left-handed,,Sri Lankan,30-Jun-69,,30,772,13,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/342.png
2008,mumbai-indians,1750,Yogesh Takawale,Wicketkeeper Batter,Right-handed,,Indian,5-Nov-84,,5,104,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/1750.png
2008,mumbai-indians,344,Dominic Thornely,,Right-handed,,Australian,1-Oct-78,,6,39,3,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/344.png
2008,mumbai-indians,25,Dwayne Bravo,All-rounder,Right-handed,Right-arm Medium Fast,West Indian,7-Oct-83,2008,161,1560,183,https://assets.iplt20.com/ipl/IPLHeadshot2022/25.png
2008,mumbai-indians,345,Dilhara Fernando,,Right-handed,,Sri Lankan,19-Jul-79,,10,4,17,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/345.png
2008,mumbai-indians,346,Andre Nel,,Right-handed,,South African,15-Jul-77,,0,0,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/346.png
2008,mumbai-indians,347,Shaun Pollock,,Right-handed,,South African,16-Jul-73,,13,147,11,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/347.png
2008,mumbai-indians,348,Musavir Khote,,Right-handed,,Indian,22-Apr-80,,4,24,2,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/348.png
2008,mumbai-indians,413,Dwayne Smith,Batting All-rounder,Right-handed,Right-arm Medium,West Indian,12-Apr-83,2008,91,2385,26,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/413.png
2008,mumbai-indians,163,Saurabh Tiwary,Batter,Left-handed,,Indian,30-Dec-89,2008,93,1494,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/163.png
2008,mumbai-indians,101,Dhawal Kulkarni,Bowler,Right-handed,Right-arm Medium Fast,Indian,10-Dec-88,2008,84,100,86,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/101.png
2008,mumbai-indians,103,Harbhajan Singh,Bowling All-rounder,Right-handed,Right-arm Off-spin,Indian,3-Jul-80,2008,163,833,150,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/103.png
2008,mumbai-indians,3180,Swapnil Singh,Bowling all-rounder,Right-handed,Left-arm Spin,Indian,22-Jan-91,,5,12,1,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/3180.png
2008,mumbai-indians,115,Ashish Nehra,Bowler,Right-handed,Left-arm Medium Fast,Indian,29-Apr-79,2008,55,39,87,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/115.png
2008,mumbai-indians,123,Manish Pandey,Batter,Right-handed,Right-arm Off-spin,Indian,10-Sep-89,2008,160,3648,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/123.png
2008,mumbai-indians,127,Robin Uthappa,Batter,Right-handed,Right-arm Medium,Indian,11-Nov-85,2008,205,4952,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/127.png
2008,punjab-kings,113,Yuvraj Singh,All-rounder,Left-handed,Left-arm Orthodox Spin,Indian,12-Dec-81,2008,132,2750,36,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/113.png
2008,punjab-kings,27,Kumar Sangakkara,Wicketkeeper Batter,Left-handed,Right-arm Off-spin,Sri Lankan,27-Oct-77,2008,71,1687,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/27.png
2008,punjab-kings,1088,Rishi Dhawan,All-rounder,Right-handed,Right-arm Medium Fast,Indian,19-Feb-90,2013,32,190,24,https://assets.iplt20.com/ipl/IPLHeadshot2022/1088.png
2008,punjab-kings,322,Karan Goel,,Left-handed,,Indian,24-Dec-86,,22,218,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/322.png
2008,punjab-kings,323,Pankaj Dharmani,,Right-handed,,Indian,27-Sep-74,,0,0,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/323.png
2008,punjab-kings,196,Brett Lee,Bowler,Right-handed,Right-arm Fast,Australian,8-Nov-76,2008,38,124,25,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/196.png
2008,punjab-kings,324,Vikram Singh,,Right-handed,,Indian,17-Sep-84,,13,4,12,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/324.png
2008,punjab-kings,325,Ramnaresh Sarwan,,Right-handed,,West Indian,23-Jun-80,,4,73,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/325.png
2008,punjab-kings,326,Simon Katich,,Left-handed,,Australian,21-Aug-75,,11,241,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/326.png
2008,punjab-kings,3271,Ajitesh Argal,,Right-handed,,Indian,21-Sep-88,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,punjab-kings,327,Uday Kaul,,Left-handed,,Indian,2-Dec-87,,0,0,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/327.png
2008,punjab-kings,3272,Gagandeep Singh,,Right-handed,,Indian,3-Oct-81,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,punjab-kings,328,Wilkin Mota,,Right-handed,,Indian,20-Sep-81,,12,56,4,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/328.png
2008,punjab-kings,3273,Sahil Kukreja,,Right-handed,,Indian,9-Jul-85,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,punjab-kings,73,Nitin Saini,Batter,Left-handed,,Indian,28-Oct-88,2012,10,140,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/73.png
2008,punjab-kings,76,Piyush Chawla,Bowling All-rounder,Left-handed,Right-arm Leg Spin,Indian,24-Dec-88,2008,158,584,157,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/76.png
2008,punjab-kings,83,Ramesh Powar,Bowler,Left-handed,Right-arm Off-spin,Indian,20-May-78,2008,26,67,13,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/83.png
2008,punjab-kings,150,Shanthakumaran Sreesanth,Bowler,Left-handed,Right-arm Medium Fast,Indian,6-Feb-83,2008,22,33,40,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/150.png
2008,punjab-kings,42,Sunny Sohal,Batter,Left-handed,Right-arm Leg Spin,Indian,10-Nov-87,2008,21,368,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/42.png
2008,punjab-kings,171,James Hopes,,Right-handed,,Australian,27-Feb-12,,21,417,14,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/171.png
2008,punjab-kings,43,Tanmay Srivastava,Batter,Left-handed,Right-arm Medium,Indian,7-Nov-85,2008,7,8,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/43.png
2008,punjab-kings,238,Luke Pomersbach,Batter,Left-handed,Right-arm Off-spin,Australian,28-Sep-84,2008,17,302,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/238.png
2008,punjab-kings,175,Mahela Jayawardene,Batter,Right-handed,Right-arm Medium,Sri Lankan,27-May-77,2008,80,1802,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/175.png
2008,punjab-kings,433,Kyle Mills,,Right-handed,,New Zealander,15-Mar-79,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,punjab-kings,49,Irfan Pathan,All-rounder,Left-handed,Left-arm Medium Fast,Indian,27-Oct-84,2008,103,1139,80,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/49.png
2008,punjab-kings,191,Shaun Marsh,Batter,Left-handed,Left-arm Orthodox Spin,Australian,9-Jul-83,2008,71,2477,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/191.png
2008,rajasthan-royals,292,Shane Warne,,Right-handed,,Australian,13-Sep-69,,55,198,57,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/292.png
2008,rajasthan-royals,316,Kamran Akmal,,Right-handed,,Pakistani,13-Jan-82,,6,128,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/316.png
2008,rajasthan-royals,320,Niraj Patel,,Left-handed,,Indian,26-Mar-81,,9,121,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/320.png
2008,rajasthan-royals,321,Sohail Tanvir,,Right-handed,,Pakistani,12-Dec-84,,11,36,22,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/321.png
2008,rajasthan-royals,9,Ravindra Jadeja,All-rounder,Left-handed,Left-arm Orthodox Spin,Indian,6-Dec-88,2008,210,2502,132,https://assets.iplt20.com/ipl/IPLHeadshot2022/9.png
