editionNo,TeamName,Played,Won,Lost,Tied,N/R,NetRunRate,For,Against,Pts
2016,KKR,14,8,6,0,0,0.106,2123/253.2,2121/256.2,16
2016,MI,14,7,7,0,0,-0.146,2194/272.2,2190/267,14
2016,DD,14,7,7,0,0,-0.155,2040/259.1,2107/262.3,14
2016,RPS,14,5,9,0,0,0.015,2025/244.5,1991/241.1,10
2016,PBKS,14,4,10,0,0,-0.646,2134/269.4,2224/259.5,8
2017,MI,14,10,4,0,0,0.784,2407/272.1,2242/278.1,20
2017,RPS,14,9,5,0,0,0.176,2180/271,2165/275.1,18
2017,SRH,14,8,5,0,1,0.599,2221/252,2118/257.5,17
2017,KKR,14,8,6,0,0,0.641,2329/260.5,2300/277.3,16
2017,PBKS,14,7,7,0,0,-0.009,2207/261.2,2229/263.4,14
2017,DD,14,6,8,0,0,-0.512,2219/276.2,2255/264,12
2017,GL,14,4,10,0,0,-0.412,2406/269.5,2472/265,8
2017,RCB,14,3,10,0,1,-1.299,1845/260,2033/242.1,7
2018,SRH,14,9,5,0,0,0.284,2230/273.3,2193/278.4,18
2018,CSK,14,9,5,0,0,0.253,2488/275.3,2433/277.1,18
2018,KKR,14,8,6,0,0,-0.07,2363/265.1,2425/270,16
2018,RR,14,7,7,0,0,-0.25,2130/255.3,2141/249.2,14
2018,MI,14,6,8,0,0,0.317,2380/278.4,2282/277.3,12
2018,RCB,14,6,8,0,0,0.129,2322/264.4,2383/275.4,12
2018,PBKS,14,6,8,0,0,-0.502,2210/268.4,2259/258.5,12
2018,DD,14,5,9,0,0,-0.222,2297/258,2304/252.3,10
2019,MI,14,9,5,0,0,0.421,2380/275.1,2282/277.2,18
2019,CSK,14,9,5,0,0,0.131,2043/274.1,2012/274.5,18
2019,DC,14,9,5,0,0,0.044,2207/272.5,2238/278.1,18
2019,SRH,14,6,8,0,0,0.577,2288/269.2,2200/277.5,12
2019,KKR,14,6,8,0,0,0.028,2466/270.4,2419/266.2,12
2019,PBKS,14,6,8,0,0,-0.251,2429/276.3,2503/277,12
2019,RR,14,5,8,0,1,-0.449,2153/257,2192/248.2,11
2019,RCB,14,5,8,0,1,-0.607,2146/258.4,2266/254.3,11
2020,MI,14,9,5,0,0,1.107,2378/262.2,2187/274.5,18
2020,DC,14,8,6,0,0,-0.109,2289/278.5,2271/273,16
2020,SRH,14,7,7,0,0,0.608,2225/269.3,2125/277.5,14
2020,RCB,14,7,7,0,0,-0.172,2147/272.2,2183/271,14
2020,KKR,14,7,7,0,0,-0.214,2219/278,2206/269.1,14
