Year,FirstBattingTeamName,SecondBattingTeamName,MatchName,MatchDateNew,Commentss,1Summary,2Summary
2022,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders VS Mumbai Indians,6-Apr-22,Kolkata Knight Riders Won by 5 Wickets ,161/4 (20.0 Overs),162/5 (16.0 Overs)
2022,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals VS Royal Challengers Bangalore,5-Apr-22,Royal Challengers Bangalore Won by 4  Wickets ,169/3 (20.0 Overs),173/6 (19.1 Overs)
2022,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad VS Lucknow Super Giants,4-Apr-22,Lucknow Super Giants Won by 12  Runs ,169/7 (20.0 Overs),157/9 (20.0 Overs)
2022,Punjab Kings,Chennai Super Kings,Chennai Super Kings VS Punjab Kings,3-Apr-22,Punjab Kings Won by 54  Runs ,180/8 (20.0 Overs),126/10 (18.0 Overs)
2022,Gujarat Titans,Delhi Capitals,Gujarat Titans VS Delhi Capitals,2-Apr-22,Gujarat Titans Won by 14  Runs ,171/6 (20.0 Overs),157/9 (20.0 Overs)
2022,Rajasthan Royals,Mumbai Indians,Mumbai Indians VS Rajasthan Royals,2-Apr-22,Rajasthan Royals Won by 23  Runs ,193/8 (20.0 Overs),170/8 (20.0 Overs)
2022,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders VS Punjab Kings,1-Apr-22,Kolkata Knight Riders Won by 6  Wickets ,137/10 (18.2 Overs),141/4 (14.3 Overs)
2022,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants VS Chennai Super Kings,31-Mar-22,Lucknow Super Giants Won by 6  Wickets ,210/7 (20.0 Overs),211/4 (19.3 Overs)
2022,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore VS Kolkata Knight Riders,30-Mar-22,Royal Challengers Bangalore Won by 3  Wickets ,128/10 (18.5 Overs),132/7 (19.2 Overs)
2022,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad VS Rajasthan Royals,29-Mar-22,Rajasthan Royals Won by 61  Runs ,210/6 (20.0 Overs),149/7 (20.0 Overs)
2022,Lucknow Super Giants,Gujarat Titans,Gujarat Titans VS Lucknow Super Giants,28-Mar-22,Gujarat Titans Won by 5  Wickets ,158/6 (20.0 Overs),161/5 (19.4 Overs)
2022,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore VS Punjab Kings,27-Mar-22,Punjab Kings Won by 5   Wickets ,205/2 (20.0 Overs),208/5 (19.0 Overs)
2022,Mumbai Indians,Delhi Capitals,Delhi Capitals VS Mumbai Indians,27-Mar-22,Delhi Capitals Won by 4  Wickets ,177/5 (20.0 Overs),179/6 (18.2 Overs)
2022,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings VS Kolkata Knight Riders,26-Mar-22,Kolkata Knight Riders Won by 6  Wickets ,131/5 (20.0 Overs),133/4 (18.3 Overs)
2021,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings VS Kolkata Knight Riders,15-Oct-21,Chennai Super Kings won by 27 runs,192/3 (20 Overs),165/9 (20 Overs)
2021,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders VS Delhi Capitals,13-Oct-21,Kolkata Knight Riders won by 3 wickets,135/5 (20 Overs),136/7 (19.5 Overs)
2021,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore VS Kolkata Knight Riders,11-Oct-21,Kolkata Knight Riders won by 4 wickets,138/7 (20 Overs),139/6 (19.4 Overs)
2021,Delhi Capitals,Chennai Super Kings,Delhi Capitals VS Chennai Super Kings,10-Oct-21,Chennai Super Kings won by 4 wickets,172/5 (20 Overs),173/6 (19.4 Overs)
2021,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore VS Delhi Capitals,8-Oct-21,Royal Challengers Bangalore won by 7 wickets,164/5 (20 Overs),166/3 (20 Overs)
2021,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad VS Mumbai Indians,8-Oct-21,Mumbai Indians won by 42 runs,235/9 (20 Overs),193/8 (20 Overs)
2021,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders VS Rajasthan Royals,7-Oct-21,Kolkata Knight Riders won by 86 runs,171/4 (20 Overs),85/10 (16.1 Overs)
2021,Chennai Super Kings,Punjab Kings,Chennai Super Kings VS Punjab Kings,7-Oct-21,Punjab Kings won by 6 wickets,134/6 (20 Overs),139/4 (13 Overs)
2021,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore VS Sunrisers Hyderabad,6-Oct-21,Sunrisers Hyderabad won by 4 runs,141/7 (20 Overs),137/6 (20 Overs)
2021,Rajasthan Royals,Mumbai Indians,Rajasthan Royals VS Mumbai Indians,5-Oct-21,Mumbai Indians won by 8 wickets,90/9 (20 Overs),94/2 (8.2 Overs)
2021,Chennai Super Kings,Delhi Capitals,Delhi Capitals VS Chennai Super Kings,4-Oct-21,Delhi Capitals won by 3 wickets,136/5 (20 Overs),139/7 (19.4 Overs)
2021,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders VS Sunrisers Hyderabad,3-Oct-21,Kolkata Knight Riders won by 6 wickets,115/8 (20 Overs),119/4 (19.4 Overs)
2021,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore VS Punjab Kings,3-Oct-21,Royal Challengers Bangalore won by 6 runs,164/7 (20 Overs),158/6 (20 Overs)
2021,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals VS Chennai Super Kings,2-Oct-21,Rajasthan Royals won by 7 wickets,189/4 (20 Overs),190/3 (17.3 Overs)
2021,Mumbai Indians,Delhi Capitals,Mumbai Indians VS Delhi Capitals,2-Oct-21,Delhi Capitals won by 4 wickets,129/8 (20 Overs),132/6 (19.1 Overs)
2021,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders VS Punjab Kings,1-Oct-21,Punjab Kings won by 5 wickets,165/7 (20 Overs),168/5 (19.3 Overs)
2021,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad VS Chennai Super Kings,30-Sep-21,Chennai Super Kings won by 6 wickets,134/7 (20 Overs),139/4 (19.4 Overs)
2021,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals VS Royal Challengers Bangalore,29-Sep-21,Royal Challengers Bangalore won by 7 wickets,149/9 (20 Overs),153/3 (17.1 Overs)
2021,Punjab Kings,Mumbai Indians,Mumbai Indians VS Punjab Kings,28-Sep-21,Mumbai Indians won by 6 wickets,135/6 (20 Overs),137/4 (19 Overs)
2021,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders VS Delhi Capitals,28-Sep-21,Kolkata Knight Riders won by 3 wickets,127/9 (20 Overs),130/7 (18.2 Overs)
2021,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad VS Rajasthan Royals,27-Sep-21,Sunrisers Hyderabad won by 7 wickets,164/5 (20 Overs),167/3 (18.3 Overs)
2021,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore VS Mumbai Indians,26-Sep-21,Royal Challengers Bangalore won by 54 runs,165/6 (20 Overs),111/10 (18.1 Overs)
2021,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings VS Kolkata Knight Riders,26-Sep-21,Chennai Super Kings won by 2 wickets,171/6 (20 Overs),172/8 (20 Overs)
2021,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad VS Punjab Kings,25-Sep-21,Punjab Kings won by 5 runs,125/7 (20 Overs),120/7 (20 Overs)
2021,Delhi Capitals,Rajasthan Royals,Delhi Capitals VS Rajasthan Royals,25-Sep-21,Delhi Capitals won by 33 runs,154/6 (20 Overs),121/6 (20 Overs)
2021,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore VS Chennai Super Kings,24-Sep-21,Chennai Super Kings won by 6 wickets,156/6 (20 Overs),157/4 (18.1 Overs)
2021,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians VS Kolkata Knight Riders,23-Sep-21,Kolkata Knight Riders won by 7 wickets,155/6 (20 Overs),159/3 (15.1 Overs)
2021,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals VS Sunrisers Hyderabad,22-Sep-21,Delhi Capitals won by 8 wickets,134/9 (20 Overs),139/2 (17.5 Overs)
2021,Rajasthan Royals,Punjab Kings,Punjab Kings VS Rajasthan Royals,21-Sep-21,Rajasthan Royals won by 2 runs,185/10 (20 Overs),183/4 (20 Overs)
2021,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders VS Royal Challengers Bangalore,20-Sep-21,Kolkata Knight Riders won by 9 wickets,92/10 (19 Overs),94/1 (10 Overs)
2021,Chennai Super Kings,Mumbai Indians,Chennai Super Kings VS Mumbai Indians,19-Sep-21,Chennai Super Kings won by 20 runs,156/6 (20 Overs),136/8 (20 Overs)
2021,Punjab Kings,Delhi Capitals,Punjab Kings VS Delhi Capitals,2-May-21,Delhi Capitals won by 7 wickets,166/6 (20 Overs),167/3 (17.4 Overs)
2021,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals VS Sunrisers Hyderabad,2-May-21,Rajasthan Royals won by 55 runs,220/3 (20 Overs),165/8 (20 Overs)
2021,Chennai Super Kings,Mumbai Indians,Mumbai Indians VS Chennai Super Kings,1-May-21,Mumbai Indians won by 4 wickets,218/4 (20 Overs),219/6 (20 Overs)
2021,Punjab Kings,Royal Challengers Bangalore,Punjab Kings VS Royal Challengers Bangalore,30-Apr-21,Punjab Kings won by 34 runs,179/5 (20 Overs),145/8 (20 Overs)
2021,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals VS Kolkata Knight Riders,29-Apr-21,Delhi Capitals won by 7 wickets,154/6 (20 Overs),156/3 (16.3 Overs)
2021,Rajasthan Royals,Mumbai Indians,Mumbai Indians VS Rajasthan Royals,29-Apr-21,Mumbai Indians won by 7 wickets,171/4 (20 Overs),172/3 (18.3 Overs)
2021,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings VS Sunrisers Hyderabad,28-Apr-21,Chennai Super Kings won by 7 wickets,171/3 (20 Overs),173/3 (18.3 Overs)
2021,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals VS Royal Challengers Bangalore,27-Apr-21,Royal Challengers Bangalore won by 1 run,171/5 (20 Overs),170/4 (20 Overs)
2021,Punjab Kings,Kolkata Knight Riders,Punjab Kings VS Kolkata Knight Riders,26-Apr-21,Kolkata Knight Riders won by 5 wickets,123/9 (20 Overs),126/5 (16.4 Overs)
2021,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad VS Delhi Capitals,25-Apr-21,Match tied (Delhi Capitals won the Super Over),159/4 (20 Overs),159/7 (20 Overs)
2021,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings VS Royal Challengers Bangalore,25-Apr-21,Chennai Super Kings won by 69 runs,191/4 (20 Overs),122/9 (20 Overs)
2021,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals VS Kolkata Knight Riders,24-Apr-21,Rajasthan Royals won by 6 wickets,133/9 (20 Overs),134/4 (18.5 Overs)
2021,Mumbai Indians,Punjab Kings,Punjab Kings VS Mumbai Indians,23-Apr-21,Punjab Kings won by 9 wickets,131/6 (20 Overs),132/1 (17.4 Overs)
2021,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore VS Rajasthan Royals,22-Apr-21,Royal Challengers Bangalore won by 10 wickets,177/9 (20 Overs),181/0 (16.3 Overs)
2021,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders VS Chennai Super Kings,21-Apr-21,Chennai Super Kings won by 18 runs,220/3 (20 Overs),202/10 (19.1 Overs)
2021,Punjab Kings,Sunrisers Hyderabad,Punjab Kings VS Sunrisers Hyderabad,21-Apr-21,Sunrisers Hyderabad won by 9 wickets,120/10 (19.4 Overs),121/1 (18.4 Overs)
2021,Mumbai Indians,Delhi Capitals,Delhi Capitals VS Mumbai Indians,20-Apr-21,Delhi Capitals won by 6 wickets,137/9 (20 Overs),138/4 (19.1 Overs)
2021,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings VS Rajasthan Royals,19-Apr-21,Chennai Super Kings won by 45 runs,188/9 (20 Overs),143/9 (20 Overs)
2021,Punjab Kings,Delhi Capitals,Delhi Capitals VS Punjab Kings,18-Apr-21,Delhi Capitals won by 6 wickets,195/4 (20 Overs),198/4 (18.2 Overs)
2021,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore VS Kolkata Knight Riders,18-Apr-21,Royal Challengers Bangalore won by 38 runs,204/4 (20 Overs),166/8 (20 Overs)
2021,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians VS Sunrisers Hyderabad,17-Apr-21,Mumbai Indians won by 13 runs,150/5 (20 Overs),137/10 (19.4 Overs)
2021,Punjab Kings,Chennai Super Kings,Punjab Kings VS Chennai Super Kings,16-Apr-21,Chennai Super Kings won by 6 wickets,106/8 (20 Overs),107/4 (15.4 Overs)
2021,Delhi Capitals,Rajasthan Royals,Rajasthan Royals VS Delhi Capitals,15-Apr-21,Rajasthan Royals won by 3 wickets,147/8 (20 Overs),150/7 (19.4 Overs)
2021,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad VS Royal Challengers Bangalore,14-Apr-21,Royal Challengers Bangalore won by 6 runs,149/8 (20 Overs),143/9 (20 Overs)
2021,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders VS Mumbai Indians,13-Apr-21,Mumbai Indians won by 10 runs,152/10 (20 Overs),142/7 (20 Overs)
2021,Punjab Kings,Rajasthan Royals,Rajasthan Royals VS Punjab Kings,12-Apr-21,Punjab Kings won by 4 runs,221/6 (20 Overs),217/7 (20 Overs)
2021,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad VS Kolkata Knight Riders,11-Apr-21,Kolkata Knight Riders won by 10 runs,187/6 (20 Overs),177/5 (20 Overs)
2021,Chennai Super Kings,Delhi Capitals,Chennai Super Kings VS Delhi Capitals,10-Apr-21,Delhi Capitals won by 7 wickets,188/7 (20 Overs),190/3 (18.4 Overs)
2021,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians VS Royal Challengers Bangalore,9-Apr-21,Royal Challengers Bangalore won by 2 wickets,159/9 (20 Overs),160/8 (20 Overs)
2020,Delhi Capitals,Mumbai Indians,Mumbai Indians VS Delhi Capitals,10-Nov-20,Mumbai Indians won by 5 wickets,156/7 (20 Overs),157/5 (18.4 Overs)
2020,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals VS Sunrisers Hyderabad,8-Nov-20,Delhi Capitals won by 17 runs,189/3 (20 Overs),172/8 (20 Overs)
2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad VS Royal Challengers Bangalore,6-Nov-20,Sunrisers Hyderabad won by 6 wickets,131/7 (20 Overs),132/4 (19.4 Overs)
2020,Mumbai Indians,Delhi Capitals,Mumbai Indians VS Delhi Capitals,5-Nov-20,Mumbai Indians won by 57 runs,200/5 (20 Overs),143/8 (20 Overs)
2020,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad VS Mumbai Indians,3-Nov-20,Sunrisers Hyderabad won by 10 wickets,149/8 (20 Overs),151/0 (17.1 Overs)
2020,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals VS Royal Challengers Bangalore,2-Nov-20,Delhi Capitals won by 6 wickets,152/7 (20 Overs),154/4 (19 Overs)
2020,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders VS Rajasthan Royals,1-Nov-20,Kolkata Knight Riders won by 60 runs,191/7 (20 Overs),131/9 (20 Overs)
2020,Punjab Kings,Chennai Super Kings,Chennai Super Kings VS Punjab Kings,1-Nov-20,Chennai Super Kings won by 9 wickets,153/6 (20 Overs),154/1 (18.5 Overs)
2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore VS Sunrisers Hyderabad,31-Oct-20,Sunrisers Hyderabad won by 5 wickets,120/7 (20 Overs),121/5 (14.1 Overs)
2020,Delhi Capitals,Mumbai Indians,Delhi Capitals VS Mumbai Indians,31-Oct-20,Mumbai Indians won by 9 wickets,110/9 (20 Overs),111/1 (14.2 Overs)
2020,Punjab Kings,Rajasthan Royals,Punjab Kings VS Rajasthan Royals,30-Oct-20,Rajasthan Royals won by 7 wickets,185/4 (20 Overs),186/3 (17.3 Overs)
2020,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings VS Kolkata Knight Riders,29-Oct-20,Chennai Super Kings won by 6 wickets,172/5 (20 Overs),178/4 (20 Overs)
2020,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians VS Royal Challengers Bangalore,28-Oct-20,Mumbai Indians won by 5 wickets,164/6 (20 Overs),166/5 (19.1 Overs)
2020,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad VS Delhi Capitals,27-Oct-20,Sunrisers Hyderabad won by 88 runs,219/2 (20 Overs),131/10 (19 Overs)
2020,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders VS Punjab Kings,26-Oct-20,Punjab Kings won by 8 wickets,149/9 (20 Overs),150/2 (18.5 Overs)
2020,Mumbai Indians,Rajasthan Royals,Rajasthan Royals VS Mumbai Indians,25-Oct-20,Rajasthan Royals won by 8 wickets,195/5 (20 Overs),196/2 (18.2 Overs)
2020,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore VS Chennai Super Kings,25-Oct-20,Chennai Super Kings won by 8 wickets,145/6 (20 Overs),150/2 (18.4 Overs)
2020,Punjab Kings,Sunrisers Hyderabad,Punjab Kings VS Sunrisers Hyderabad,24-Oct-20,Punjab Kings won by 12 runs,126/7 (20 Overs),114/10 (19.5 Overs)
2020,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders VS Delhi Capitals,24-Oct-20,Kolkata Knight Riders won by 59 runs,194/6 (20 Overs),135/9 (20 Overs)
2020,Chennai Super Kings,Mumbai Indians,Chennai Super Kings VS Mumbai Indians,23-Oct-20,Mumbai Indians won by 10 wickets,114/9 (20 Overs),116/0 (12.2 Overs)
2020,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals VS Sunrisers Hyderabad,22-Oct-20,Sunrisers Hyderabad won by 8 wickets,154/6 (20 Overs),156/2 (18.1 Overs)
2020,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders VS Royal Challengers Bangalore,21-Oct-20,Royal Challengers Bangalore won by 8 wickets,84/8 (20 Overs),85/2 (13.3 Overs)
2020,Delhi Capitals,Punjab Kings,Punjab Kings VS Delhi Capitals,20-Oct-20,Punjab Kings won by 5 wickets,164/5 (20 Overs),167/5 (19 Overs)
2020,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings VS Rajasthan Royals,19-Oct-20,Rajasthan Royals won by 7 wickets,125/5 (20 Overs),126/3 (17.3 Overs)
2020,Mumbai Indians,Punjab Kings,Mumbai Indians VS Punjab Kings,18-Oct-20,Match tied (Kings XI Punjab won on second Super Over),176/6 (20 Overs),176/6 (20 Overs)
2020,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad VS Kolkata Knight Riders,18-Oct-20,Match tied (Kolkata Knight Riders won the Super Over),163/5 (20 Overs),163/6 (20 Overs)
2020,Chennai Super Kings,Delhi Capitals,Delhi Capitals VS Chennai Super Kings,17-Oct-20,Delhi Capitals won by 5 wickets,179/4 (20 Overs),185/5 (19.5 Overs)
2020,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals VS Royal Challengers Bangalore,17-Oct-20,Royal Challengers Bangalore won by 7 wickets,177/6 (20 Overs),179/3 (19.4 Overs)
2020,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians VS Kolkata Knight Riders,16-Oct-20,Mumbai Indians won by 8 wickets,148/5 (20 Overs),149/2 (16.5 Overs)
2020,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore VS Punjab Kings,15-Oct-20,Punjab Kings won by 8 wickets,171/6 (20 Overs),177/2 (20 Overs)
2020,Delhi Capitals,Rajasthan Royals,Delhi Capitals VS Rajasthan Royals,14-Oct-20,Delhi Capitals won by 13 runs,161/7 (20 Overs),148/8 (20 Overs)
2020,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad VS Chennai Super Kings,13-Oct-20,Chennai Super Kings won by 20 runs,167/6 (20 Overs),147/8 (20 Overs)
2020,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore VS Kolkata Knight Riders,12-Oct-20,Royal Challengers Bangalore won by 82 runs,194/2 (20 Overs),112/9 (20 Overs)
2020,Delhi Capitals,Mumbai Indians,Mumbai Indians VS Delhi Capitals,11-Oct-20,Mumbai Indians won by 5 wickets,162/4 (20 Overs),166/5 (19.4 Overs)
2020,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad VS Rajasthan Royals,11-Oct-20,Rajasthan Royals won by 5 wickets,158/4 (20 Overs),163/5 (19.5 Overs)
2020,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings VS Royal Challengers Bangalore,10-Oct-20,Royal Challengers Bangalore won by 37 runs,169/4 (20 Overs),132/8 (20 Overs)
2020,Kolkata Knight Riders,Punjab Kings,Punjab Kings VS Kolkata Knight Riders,10-Oct-20,Kolkata Knight Riders won by 2 runs,164/6 (20 Overs),162/5 (20 Overs)
2020,Delhi Capitals,Rajasthan Royals,Rajasthan Royals VS Delhi Capitals,9-Oct-20,Delhi Capitals won by 46 runs,184/8 (20 Overs),138/10 (19.4 Overs)
2020,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad VS Punjab Kings,8-Oct-20,Sunrisers Hyderabad won by 69 runs,201/6 (20 Overs),132/10 (16.5 Overs)
2020,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders VS Chennai Super Kings,7-Oct-20,Kolkata Knight Riders won by 10 runs,167/10 (20 Overs),157/5 (20 Overs)
2020,Mumbai Indians,Rajasthan Royals,Mumbai Indians VS Rajasthan Royals,6-Oct-20,Mumbai Indians won by 57 runs,193/4 (20 Overs),136/10 (18.1 Overs)
2020,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore VS Delhi Capitals,5-Oct-20,Delhi Capitals won by 59 runs,196/4 (20 Overs),137/9 (20 Overs)
2020,Punjab Kings,Chennai Super Kings,Punjab Kings VS Chennai Super Kings,4-Oct-20,Chennai Super Kings won by 10 wickets,178/4 (20 Overs),181/0 (17.4 Overs)
2020,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians VS Sunrisers Hyderabad,4-Oct-20,Mumbai Indians won by 34 runs,208/5 (20 Overs),174/7 (20 Overs)
2020,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals VS Kolkata Knight Riders,3-Oct-20,Delhi Capitals won by 18 runs,228/4 (20 Overs),210/8 (20 Overs)
2020,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore VS Rajasthan Royals,3-Oct-20,Royal Challengers Bangalore won by 8 wickets,154/6 (20 Overs),158/2 (19.1 Overs)
2020,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings VS Sunrisers Hyderabad,2-Oct-20,Sunrisers Hyderabad won by 7 runs,164/5 (20 Overs),157/5 (20 Overs)
2020,Mumbai Indians,Punjab Kings,Punjab Kings VS Mumbai Indians,1-Oct-20,Mumbai Indians won by 48 runs,191/4 (20 Overs),143/8 (20 Overs)
2020,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals VS Kolkata Knight Riders,30-Sep-20,Kolkata Knight Riders won by 37 runs,174/6 (20 Overs),137/9 (20 Overs)
2020,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals VS Sunrisers Hyderabad,29-Sep-20,Sunrisers Hyderabad won by 15 runs,162/4 (20 Overs),147/7 (20 Overs)
2020,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore VS Mumbai Indians,28-Sep-20,Match tied (Royal Challengers Bangalore won the Super Over),201/3 (20 Overs),201/5 (20 Overs)
2020,Punjab Kings,Rajasthan Royals,Rajasthan Royals VS Punjab Kings,27-Sep-20,Rajasthan Royals won by 4 wickets,223/2 (20 Overs),226/6 (19.3 Overs)
2020,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders VS Sunrisers Hyderabad,26-Sep-20,Kolkata Knight Riders won by 7 wickets,142/4 (20 Overs),145/3 (18 Overs)
2020,Delhi Capitals,Chennai Super Kings,Chennai Super Kings VS Delhi Capitals,25-Sep-20,Delhi Capitals won by 44 runs,175/3 (20 Overs),131/7 (20 Overs)
2020,Punjab Kings,Royal Challengers Bangalore,Punjab Kings VS Royal Challengers Bangalore,24-Sep-20,Punjab Kings won by 97 runs,206/3 (20 Overs),109/10 (17 Overs)
2020,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders VS Mumbai Indians,23-Sep-20,Mumbai Indians won by 49 runs,195/5 (20 Overs),146/9 (20 Overs)
2020,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals VS Chennai Super Kings,22-Sep-20,Rajasthan Royals won by 16 runs,216/7 (20 Overs),200/6 (20 Overs)
2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad VS Royal Challengers Bangalore,21-Sep-20,Royal Challengers Bangalore won by 10 runs,163/5 (20 Overs),153/10 (19.4 Overs)
2020,Delhi Capitals,Punjab Kings,Delhi Capitals VS Punjab Kings,20-Sep-20,Match tied (Delhi Capitals won the Super Over),157/8 (20 Overs),157/8 (20 Overs)
2020,Mumbai Indians,Chennai Super Kings,Mumbai Indians VS Chennai Super Kings,19-Sep-20,Chennai Super Kings won by 5 wickets,162/9 (20 Overs),166/5 (19.2 Overs)
2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians VS Chennai Super Kings,12-May-19,Mumbai Indians won by 1 run,149/8 (20 Overs),148/7 (20 Overs)
2019,Delhi Capitals,Chennai Super Kings,Chennai Super Kings VS Delhi Capitals,10-May-19,Chennai Super Kings won by 6 wickets,147/9 (20 Overs),151/4 (19 Overs)
2019,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals VS Sunrisers Hyderabad,8-May-19,Delhi Capitals won by 2 wickets,162/8 (20 Overs),165/8 (19.5 Overs)
2019,Chennai Super Kings,Mumbai Indians,Mumbai Indians VS Chennai Super Kings,7-May-19,Mumbai Indians won by 6 wickets,131/4 (20 Overs),132/4 (18.3 Overs)
2019,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians VS Kolkata Knight Riders,5-May-19,Mumbai Indians won by 9 wickets,133/7 (20 Overs),134/1 (16.1 Overs)
2019,Chennai Super Kings,Punjab Kings,Punjab Kings VS Chennai Super Kings,5-May-19,Punjab Kings won by 6 wickets,170/5 (20 Overs),173/4 (18 Overs)
2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore VS Sunrisers Hyderabad,4-May-19,Royal Challengers Bangalore won by 4 wickets,175/7 (20 Overs),178/6 (19.2 Overs)
2019,Rajasthan Royals,Delhi Capitals,Delhi Capitals VS Rajasthan Royals,4-May-19,Delhi Capitals won by 5 wickets,115/9 (20 Overs),121/5 (16.1 Overs)
2019,Punjab Kings,Kolkata Knight Riders,Punjab Kings VS Kolkata Knight Riders,3-May-19,Kolkata Knight Riders won by 7 wickets,183/6 (20 Overs),185/3 (18 Overs)
2019,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians VS Sunrisers Hyderabad,2-May-19,Match Tied (Mumbai Indians won the Super Over),162/5 (20 Overs),162/6 (20 Overs)
