Year,FirstBattingTeamName,SecondBattingTeamName,MatchName,MatchDateNew,Commentss,1Summary,2Summary
2008,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore VS Delhi Capitals,19-May-08,Delhi Capitals won by 5 wickets,154/7 (20 Overs),158/5 (18.2 Overs)
2008,Mumbai Indians,Deccan Chargers,Deccan Chargers VS Mumbai Indians,18-May-08,Mumbai Indians won by 25 runs,178/7 (20 Overs),153/7 (20 Overs)
2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders VS Chennai Super Kings,18-May-08,CSK won by 3 runs (D/L method),149/5 (20 Overs),55/0 (8 Overs)
2008,Delhi Capitals,Punjab Kings,Delhi Capitals VS Punjab Kings,17-May-08,Kings XI Punjab won by 6 runs (D/L method),118/4 (11 Overs),94/3 (8 Overs)
2008,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals VS Royal Challengers Bangalore,17-May-08,Rajasthan Royals won by 65 runs,197/1 (20 Overs),132/9 (20 Overs)
2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians VS Kolkata Knight Riders,16-May-08,Mumbai Indians won by 8 wickets,67/10 (15.2 Overs),68/2 (5.3 Overs)
2008,Delhi Capitals,Deccan Chargers,Delhi Capitals VS Deccan Chargers,15-May-08,Delhi Capitals won by 12 runs,194/4 (20 Overs),182/9 (20 Overs)
2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians VS Chennai Super Kings,14-May-08,Mumbai Indians won by 9 wickets,156/6 (20 Overs),158/1 (13.5 Overs)
2008,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders VS Delhi Capitals,13-May-08,Kolkata Knight Riders won by 23 runs,133/6 (20 Overs),110/10 (17.5 Overs)
2008,Royal Challengers Bangalore,Punjab Kings,Punjab Kings VS Royal Challengers Bangalore,12-May-08,Punjab Kings won by 9 wickets,143/8 (20 Overs),144/1 (15.4 Overs)
2008,Delhi Capitals,Rajasthan Royals,Rajasthan Royals VS Delhi Capitals,11-May-08,Rajasthan Royals won by 3 wickets,156/7 (20 Overs),159/7 (19.1 Overs)
2008,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers VS Kolkata Knight Riders,11-May-08,Kolkata Knight Riders won by 23 runs,204/4 (20 Overs),181/7 (20 Overs)
2008,Chennai Super Kings,Punjab Kings,Chennai Super Kings VS Punjab Kings,10-May-08,Chennai Super Kings won by 18 runs,181/4 (20 Overs),163/9 (20 Overs)
2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals VS Deccan Chargers,9-May-08,Rajasthan Royals won by 8 wickets,140/8 (20 Overs),141/2 (16 Overs)
2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders VS Royal Challengers Bangalore,8-May-08,Kolkata Knight Riders won by 5 runs,129/7 (16 Overs),124/4 (16 Overs)
2008,Delhi Capitals,Chennai Super Kings,Delhi Capitals VS Chennai Super Kings,8-May-08,Chennai Super Kings won by 4 wickets,187/5 (20 Overs),188/6 (20 Overs)
2008,Rajasthan Royals,Mumbai Indians,Mumbai Indians VS Rajasthan Royals,7-May-08,Mumbai Indians won by 7 wickets,103/10 (16.2 Overs),104/3 (15.1 Overs)
2008,Chennai Super Kings,Deccan Chargers,Chennai Super Kings VS Deccan Chargers,6-May-08,Deccan Chargers won by 7 wickets,144/7 (20 Overs),148/3 (18 Overs)
2008,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore VS Punjab Kings,5-May-08,Punjab Kings won by 6 wickets,126/10 (19.2 Overs),127/4 (18.2 Overs)
2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals VS Chennai Super Kings,4-May-08,Rajasthan Royals won by 8 wickets,109/10 (19 Overs),110/2 (14.2 Overs)
2008,Mumbai Indians,Delhi Capitals,Mumbai Indians VS Delhi Capitals,4-May-08,Mumbai Indians won by 29 runs,162/8 (20 Overs),133/10 (18.5 Overs)
2008,Punjab Kings,Kolkata Knight Riders,Punjab Kings VS Kolkata Knight Riders,3-May-08,Punjab Kings won by 9 runs,178/6 (20 Overs),169/6 (20 Overs)
2008,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore VS Deccan Chargers,3-May-08,Royal Challengers Bangalore won by 3 runs,156/8 (20 Overs),153/6 (20 Overs)
2008,Chennai Super Kings,Delhi Capitals,Chennai Super Kings VS Delhi Capitals,2-May-08,Delhi Capitals won by 8 wickets,169/6 (20 Overs),172/2 (19 Overs)
2008,Deccan Chargers,Punjab Kings,Deccan Chargers VS Punjab Kings,1-May-08,Punjab Kings won by 7 wickets,164/8 (20 Overs),167/3 (18.5 Overs)
2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals VS Kolkata Knight Riders,1-May-08,Rajasthan Royals won by 45 runs,196/7 (20 Overs),151/10 (19.1 Overs)
